"area","<28days","<1yr","1+","2+","3+","4+","5+","6+","7-9","10-14","15-24","25-34","35-44","45-54","55-64","65+","unknown","year"
"Amnat Charoen",0,0,1,2,0,1,1,3,15,29,26,14,6,7,5,3,0,2016
"Ang Thong",0,1,0,1,1,1,0,1,3,8,14,11,8,3,2,5,0,2016
"Bangkok",1,12,19,21,27,23,31,44,151,370,851,884,558,321,203,113,0,2016
"Bungkan",0,0,0,0,4,6,5,7,28,75,50,24,22,9,2,1,0,2016
"Buri Ram",0,4,5,2,5,9,7,10,45,82,58,17,19,10,9,8,0,2016
"Chachoengsao",0,1,1,2,0,3,1,2,5,11,17,13,15,10,6,3,0,2016
"Chai Nat",0,0,1,1,2,1,1,0,2,6,11,8,4,1,3,1,0,2016
"Chaiyaphum",0,0,3,4,3,8,8,6,29,36,47,17,8,11,7,3,0,2016
"Chanthaburi",0,1,0,5,6,5,4,5,10,30,28,37,20,8,4,4,0,2016
"Chiang Mai",0,0,0,2,2,7,4,3,17,49,174,164,135,107,83,39,0,2016
"Chiang Rai",0,0,1,1,1,0,0,0,2,4,18,15,13,15,18,8,0,2016
"Chon Buri",0,2,5,2,5,2,5,3,13,41,105,69,38,25,12,5,0,2016
"Chumphon",0,0,0,0,0,0,0,0,1,3,4,0,2,0,0,1,0,2016
"Kalasin",0,1,1,3,1,4,1,5,19,34,52,44,12,13,7,6,0,2016
"Kamphaeng Phet",0,0,0,0,0,1,0,0,5,7,17,10,5,1,2,1,0,2016
"Kanchanaburi",0,0,0,1,0,1,1,2,5,6,11,4,7,3,1,1,0,2016
"Khon Kaen",0,2,1,2,4,7,5,9,24,53,106,46,21,17,7,6,0,2016
"Krabi",0,2,3,3,6,8,10,5,26,56,99,56,28,21,14,9,0,2016
"Lampang",0,0,0,0,0,2,0,3,2,15,38,42,26,21,8,8,0,2016
"Lamphun",0,0,1,0,0,1,2,3,13,21,40,21,21,22,10,9,0,2016
"Loei",0,0,0,1,1,1,1,2,12,29,50,29,15,21,7,7,0,2016
"Lop Buri",0,1,2,1,3,5,0,8,7,18,25,11,7,3,3,2,0,2016
"Mae Hong Son",0,0,0,4,0,1,2,2,7,27,35,33,35,23,21,3,0,2016
"Maha Sarakham",0,1,0,1,3,3,3,3,9,24,89,17,11,13,4,9,0,2016
"Mukdahan",0,0,1,0,1,4,0,2,5,15,20,14,7,3,4,0,0,2016
"Nakhon Nayok",0,0,1,0,0,0,1,1,1,0,6,0,0,0,0,2,0,2016
"Nakhon Pathom",0,4,1,4,1,6,4,5,19,35,90,58,39,29,27,11,0,2016
"Nakhon Phanom",0,2,1,3,0,1,0,1,14,22,34,9,7,5,0,2,0,2016
"Nakhon Ratchasima",0,15,19,15,18,15,13,15,50,106,165,127,51,35,15,16,0,2016
"Nakhon Sawan",0,2,0,3,2,3,4,3,14,27,58,30,16,13,8,0,0,2016
"Nakhon Si Thammarat",0,2,8,7,14,7,15,14,52,101,177,90,53,44,22,17,0,2016
"Nan",0,0,0,0,1,0,0,0,3,3,8,6,5,1,2,1,0,2016
"Narathiwat",0,14,5,7,22,21,23,24,81,162,288,210,132,89,40,16,0,2016
"Nong Bua Lam Phu",0,1,0,0,2,1,3,3,14,22,33,10,9,4,3,2,0,2016
"Nong Khai",0,0,1,0,0,2,3,1,3,18,27,6,4,5,2,0,0,2016
"Nonthaburi",0,0,3,2,1,4,3,5,7,25,78,36,37,26,8,5,0,2016
"P.Nakhon S.Ayutthaya",0,1,0,3,0,1,5,1,15,26,61,53,26,22,19,6,0,2016
"Pathum Thani",0,0,0,1,3,0,1,3,12,17,46,42,20,23,11,5,0,2016
"Pattani",0,38,32,35,41,59,37,49,192,294,329,144,68,42,25,22,0,2016
"Phangnga",0,1,1,3,4,1,0,4,9,19,14,19,4,7,6,1,0,2016
"Phatthalung",2,10,3,7,11,8,7,6,39,122,218,122,59,37,27,11,0,2016
"Phayao",0,0,0,0,0,1,0,0,3,2,9,7,7,8,13,2,0,2016
"Phetchabun",0,8,1,5,4,8,9,5,36,48,85,51,24,18,10,10,0,2016
"Phetchaburi",0,0,1,0,3,2,2,3,12,22,52,27,12,9,6,5,0,2016
"Phichit",0,0,1,1,0,4,1,1,7,23,28,23,16,9,3,4,0,2016
"Phitsanulok",0,1,1,1,1,4,2,1,8,19,46,28,21,18,5,7,0,2016
"Phrae",0,0,0,0,0,0,0,2,1,1,7,5,0,6,1,1,0,2016
"Phuket",0,2,0,2,3,0,3,4,20,37,82,77,32,16,9,3,0,2016
"Prachin Buri",0,1,0,0,0,0,0,1,4,4,7,10,3,5,1,1,0,2016
"Prachuap Khiri Khan",0,2,2,1,4,2,4,7,9,25,36,22,12,2,4,0,0,2016
"Ranong",0,1,0,0,0,1,0,0,2,2,5,3,2,1,1,0,0,2016
"Ratchaburi",0,2,0,0,2,2,2,0,8,15,34,24,17,11,4,5,0,2016
"Rayong",0,2,2,3,3,2,5,4,20,52,127,105,49,31,13,6,0,2016
"Roi Et",0,3,0,2,3,7,6,12,36,104,119,38,28,8,6,3,0,2016
"Sa Kaeo",0,2,0,0,2,5,2,2,6,18,21,8,3,4,0,1,0,2016
"Sakon Nakhon",0,5,0,2,5,0,1,5,17,37,62,48,14,15,6,4,0,2016
"Samut Prakan",0,2,2,3,7,5,8,4,23,67,157,61,40,26,21,7,0,2016
"Samut Sakhon",0,2,0,3,2,2,2,5,13,13,29,23,15,10,3,6,0,2016
"Samut Songkhram",0,0,0,0,0,0,0,1,0,0,5,8,7,5,0,1,0,2016
"Saraburi",0,0,0,1,0,0,1,2,5,10,18,22,13,8,4,3,0,2016
"Satun",0,1,1,3,3,8,6,2,26,36,44,17,12,1,2,1,0,2016
"Si Sa Ket",0,1,0,1,2,4,7,9,32,45,81,32,25,11,12,8,0,2016
"Sing Buri",0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,2016
"Songkhla",1,73,33,46,62,73,89,105,390,724,1033,531,276,133,65,39,0,2016
"Sukhothai",0,0,1,0,2,1,1,4,6,18,21,12,7,3,2,0,0,2016
"Suphan Buri",0,1,2,1,4,3,3,1,16,26,48,37,13,16,9,4,0,2016
"Surat Thani",0,1,0,0,0,0,5,1,3,8,8,6,1,1,0,0,0,2016
"Surin",0,4,1,5,10,18,12,15,70,155,136,54,35,22,4,3,0,2016
"Tak",0,1,3,2,3,2,6,4,18,58,75,56,35,19,12,5,0,2016
"Trang",0,2,2,4,10,7,4,11,39,110,200,105,77,39,18,8,0,2016
"Trat",0,2,0,0,0,2,0,0,3,6,17,16,12,9,7,2,0,2016
"Ubon Ratchathani",0,5,7,5,9,10,9,17,64,179,246,97,59,48,26,14,0,2016
"Udon Thani",0,0,0,5,0,1,1,6,12,23,30,7,8,5,3,4,0,2016
"Uthai Thani",0,0,0,0,2,2,2,0,2,3,13,11,3,2,2,0,0,2016
"Uttaradit",0,0,0,0,1,0,0,0,2,4,12,2,1,1,1,0,0,2016
"Yala",0,5,2,5,5,8,2,10,35,59,125,54,25,8,2,2,0,2016
"Yasothon",0,0,0,1,1,0,1,0,5,18,37,11,11,5,1,1,0,2016
