"area","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","total"
"Amnat Charoen",2011,3,0,4,3,23,21,58,15,9,1,3,3,143
"Amnat Charoen",2012,1,2,4,3,7,28,27,9,11,2,0,3,97
"Amnat Charoen",2013,5,7,2,20,33,42,17,5,3,3,0,0,137
"Amnat Charoen",2014,0,0,0,0,2,2,3,6,0,3,2,1,19
"Amnat Charoen",2015,1,0,0,0,9,23,34,35,22,13,14,5,156
"Amnat Charoen",2016,15,1,13,6,12,15,15,21,6,6,3,0,113
"Amnat Charoen",2017,2,3,1,2,15,8,12,2,3,0,0,0,48
"Amnat Charoen",2018,0,0,0,4,12,20,14,10,7,5,2,1,75
"Amnat Charoen",2019,1,1,14,28,51,52,43,11,10,15,1,0,227
"Amnat Charoen",2020,4,5,5,4,7,17,8,10,3,1,0,0,64
"Ang Thong",2011,4,4,3,9,19,32,16,20,7,6,7,2,129
"Ang Thong",2012,2,6,2,7,4,7,12,9,15,13,10,5,92
"Ang Thong",2013,8,7,7,12,15,6,5,11,3,7,3,1,85
"Ang Thong",2014,1,0,4,1,7,3,6,8,3,6,8,8,55
"Ang Thong",2015,8,9,8,19,46,40,34,25,29,32,17,11,278
"Ang Thong",2016,7,3,4,0,0,2,4,14,17,5,2,1,59
"Ang Thong",2017,3,2,0,1,4,9,19,16,19,26,5,6,110
"Ang Thong",2018,4,0,1,6,9,5,9,10,20,14,17,14,109
"Ang Thong",2019,18,10,17,8,15,17,22,11,7,15,14,7,161
"Ang Thong",2020,17,9,13,12,6,4,33,60,62,12,1,0,229
"Bangkok",2011,477,271,256,331,760,1011,1052,815,592,556,767,414,7302
"Bangkok",2012,206,189,174,177,138,215,418,634,661,1060,1437,1068,6377
"Bangkok",2013,928,475,348,340,361,610,1115,1177,923,932,934,498,8641
"Bangkok",2014,205,153,130,80,92,100,190,216,317,384,442,267,2576
"Bangkok",2015,328,232,239,218,558,622,880,1283,1537,2056,4049,1465,13467
"Bangkok",2016,904,376,224,126,45,60,168,292,313,389,411,321,3629
"Bangkok",2017,193,123,95,109,119,346,617,749,593,576,616,405,4541
"Bangkok",2018,224,158,268,254,223,465,658,671,476,381,334,201,4313
"Bangkok",2019,336,206,178,102,98,205,528,753,669,946,904,425,5350
"Bangkok",2020,248,132,81,51,66,97,254,352,280,249,255,153,2218
"Bungkan",2011,0,1,0,0,1,9,1,3,2,0,0,0,17
"Bungkan",2012,0,5,6,5,11,18,7,4,1,4,1,1,63
"Bungkan",2013,2,5,16,53,112,224,66,16,9,3,1,2,509
"Bungkan",2014,2,2,2,2,4,8,4,3,7,0,0,0,34
"Bungkan",2015,2,0,0,0,0,4,16,3,12,39,31,2,109
"Bungkan",2016,8,5,11,8,24,55,50,30,21,16,5,0,233
"Bungkan",2017,10,9,9,15,26,62,34,22,5,4,9,0,205
"Bungkan",2018,1,0,0,1,25,29,13,9,5,5,11,5,104
"Bungkan",2019,11,17,20,14,54,55,13,1,0,1,0,0,186
"Bungkan",2020,3,0,1,5,42,30,34,3,7,2,0,0,127
"Buri Ram",2011,37,11,32,40,117,295,232,207,148,19,33,6,1177
"Buri Ram",2012,9,6,24,42,160,265,256,155,126,149,86,79,1357
"Buri Ram",2013,53,62,98,94,140,292,318,230,183,58,34,1,1563
"Buri Ram",2014,2,9,5,7,39,59,35,29,29,19,22,5,260
"Buri Ram",2015,2,4,11,17,51,87,108,246,244,165,99,46,1080
"Buri Ram",2016,44,27,33,21,3,13,27,36,34,30,17,5,290
"Buri Ram",2017,5,5,2,10,40,93,96,81,32,14,7,2,387
"Buri Ram",2018,5,1,0,7,33,91,130,97,97,63,31,38,593
"Buri Ram",2019,72,82,76,80,107,256,271,171,126,103,37,17,1398
"Buri Ram",2020,15,12,15,20,44,49,93,65,46,13,2,1,375
"Chachoengsao",2011,36,23,26,41,111,222,241,215,150,126,120,62,1373
"Chachoengsao",2012,32,27,35,31,62,96,157,152,112,95,74,36,909
"Chachoengsao",2013,23,15,27,20,33,54,58,56,44,25,18,5,378
"Chachoengsao",2014,7,6,3,1,7,1,25,21,27,25,32,8,163
"Chachoengsao",2015,9,8,14,18,42,41,66,76,115,94,107,59,649
"Chachoengsao",2016,13,11,9,2,4,4,8,6,10,11,4,8,90
"Chachoengsao",2017,3,1,1,6,4,11,26,17,15,8,7,5,104
"Chachoengsao",2018,4,5,9,5,25,48,27,30,53,105,75,57,443
"Chachoengsao",2019,48,29,27,30,40,41,74,60,27,22,13,4,415
"Chachoengsao",2020,2,1,1,5,6,15,12,13,6,3,3,4,71
"Chai Nat",2011,2,7,2,5,15,21,36,11,17,9,20,6,151
"Chai Nat",2012,5,9,18,12,7,7,8,13,12,20,30,17,158
"Chai Nat",2013,22,12,22,17,19,34,48,9,1,5,1,1,191
"Chai Nat",2014,1,1,4,0,1,3,2,1,5,1,5,3,27
"Chai Nat",2015,4,9,5,7,16,31,31,28,24,22,17,15,209
"Chai Nat",2016,8,6,4,3,0,0,5,6,4,2,1,3,42
"Chai Nat",2017,2,4,5,4,4,17,18,9,3,8,2,0,76
"Chai Nat",2018,2,1,2,2,3,8,7,7,2,6,10,5,55
"Chai Nat",2019,10,6,8,1,3,8,18,14,9,11,0,6,94
"Chai Nat",2020,6,12,6,6,4,11,35,60,48,10,4,0,202
"Chaiyaphum",2011,4,4,6,15,47,112,76,84,50,42,35,16,491
"Chaiyaphum",2012,11,15,14,31,60,100,111,83,66,36,42,21,590
"Chaiyaphum",2013,30,23,55,56,62,127,143,126,58,18,15,3,716
"Chaiyaphum",2014,2,1,3,2,16,42,42,37,25,40,36,14,260
"Chaiyaphum",2015,13,17,25,27,70,120,139,233,236,148,126,40,1194
"Chaiyaphum",2016,33,17,13,3,3,6,35,35,19,14,9,3,190
"Chaiyaphum",2017,6,1,4,2,8,22,29,22,9,9,3,2,117
"Chaiyaphum",2018,1,1,0,6,31,55,20,27,23,19,13,16,212
"Chaiyaphum",2019,14,10,21,24,36,81,82,64,41,77,62,24,536
"Chaiyaphum",2020,18,27,19,50,94,136,136,55,17,5,1,1,559
"Chanthaburi",2011,19,7,12,6,73,66,54,47,15,13,26,8,346
"Chanthaburi",2012,9,15,14,30,75,102,88,45,35,34,21,7,475
"Chanthaburi",2013,14,14,33,44,86,129,130,81,40,25,20,5,621
"Chanthaburi",2014,7,5,9,14,20,58,84,75,48,30,22,21,393
"Chanthaburi",2015,13,9,9,20,61,77,118,121,64,37,41,21,591
"Chanthaburi",2016,10,6,4,2,9,22,33,30,23,17,9,2,167
"Chanthaburi",2017,1,6,4,6,12,12,13,10,10,7,3,2,86
"Chanthaburi",2018,2,2,4,3,13,23,23,14,18,5,7,4,118
"Chanthaburi",2019,6,3,3,17,35,83,97,76,37,27,25,7,416
"Chanthaburi",2020,2,4,3,4,13,19,12,5,2,6,2,1,73
"Chiang Mai",2011,10,5,8,3,42,61,32,38,14,10,14,3,240
"Chiang Mai",2012,7,7,1,6,17,64,83,108,102,95,60,18,568
"Chiang Mai",2013,28,21,30,113,303,499,643,501,285,87,31,15,2556
"Chiang Mai",2014,4,3,0,0,5,27,29,31,41,16,8,3,167
"Chiang Mai",2015,2,2,0,5,33,59,83,111,139,82,114,47,677
"Chiang Mai",2016,7,4,1,4,12,16,169,282,163,85,32,11,786
"Chiang Mai",2017,13,5,9,10,50,139,173,116,59,45,46,17,682
"Chiang Mai",2018,6,3,3,7,33,80,89,61,79,33,19,13,426
"Chiang Mai",2019,2,4,9,20,26,79,192,193,148,127,65,29,894
"Chiang Mai",2020,16,9,10,16,26,74,117,87,85,43,32,2,517
"Chiang Rai",2011,12,2,2,7,13,43,31,36,34,9,6,3,198
"Chiang Rai",2012,1,1,0,2,7,50,70,109,72,41,43,39,435
"Chiang Rai",2013,31,19,35,84,261,569,682,446,203,74,24,3,2431
"Chiang Rai",2014,0,0,0,0,0,1,0,5,4,0,4,1,15
"Chiang Rai",2015,1,0,1,3,24,38,35,46,23,23,22,8,224
"Chiang Rai",2016,1,0,2,5,7,14,35,17,12,0,3,0,96
"Chiang Rai",2017,1,1,0,3,9,32,43,54,21,22,14,2,202
"Chiang Rai",2018,1,4,2,3,15,47,67,56,23,39,31,15,303
"Chiang Rai",2019,5,8,9,11,21,74,176,144,162,77,82,23,792
"Chiang Rai",2020,12,3,1,5,16,21,43,26,14,9,3,3,156
"Chon Buri",2011,57,50,73,103,148,173,150,83,104,74,104,55,1174
"Chon Buri",2012,59,39,61,75,96,93,126,123,150,151,139,103,1215
"Chon Buri",2013,105,75,80,109,116,179,150,237,159,121,92,37,1460
"Chon Buri",2014,28,32,38,43,17,25,19,23,25,31,41,53,375
"Chon Buri",2015,43,23,20,33,121,114,132,135,149,188,187,150,1295
"Chon Buri",2016,81,48,35,19,9,11,8,39,26,25,23,8,332
"Chon Buri",2017,11,15,16,12,33,33,22,11,19,14,20,19,225
"Chon Buri",2018,15,17,27,39,127,166,120,108,76,59,85,67,906
"Chon Buri",2019,45,60,44,58,55,124,177,160,88,125,146,110,1192
"Chon Buri",2020,51,29,27,17,36,47,89,96,81,67,51,13,604
"Chumphon",2011,11,19,8,6,6,4,10,10,11,7,7,1,100
"Chumphon",2012,3,10,9,11,37,30,52,47,19,19,18,14,269
"Chumphon",2013,14,15,30,20,56,72,37,21,11,9,7,2,294
"Chumphon",2014,4,5,3,6,5,12,31,8,2,13,7,1,97
"Chumphon",2015,9,8,8,5,6,5,8,7,5,5,4,2,72
"Chumphon",2016,2,0,0,0,0,1,0,2,0,2,3,1,11
"Chumphon",2017,4,1,1,4,2,5,3,3,0,3,0,1,27
"Chumphon",2018,0,7,1,9,6,4,5,1,1,1,1,0,36
"Chumphon",2019,6,5,4,7,12,9,14,7,1,5,2,1,73
"Chumphon",2020,2,2,1,1,2,1,1,1,6,6,4,2,29
"Kalasin",2011,7,1,3,6,24,37,66,37,16,10,3,6,216
"Kalasin",2012,0,3,11,12,22,34,29,36,29,25,29,21,251
"Kalasin",2013,18,15,41,50,90,151,155,96,27,10,6,0,659
"Kalasin",2014,0,1,1,4,14,4,6,5,9,3,0,1,48
"Kalasin",2015,0,1,7,8,22,56,56,49,30,38,37,34,338
"Kalasin",2016,12,5,15,8,9,16,51,43,23,17,3,1,203
"Kalasin",2017,10,2,2,5,13,42,30,26,17,4,2,1,154
"Kalasin",2018,0,0,5,1,14,32,23,35,16,17,7,10,160
"Kalasin",2019,13,5,15,12,24,64,89,55,40,24,16,12,369
"Kalasin",2020,10,10,13,18,21,14,50,19,12,8,3,3,181
"Kamphaeng Phet",2011,7,15,16,21,78,167,186,119,63,32,41,17,762
"Kamphaeng Phet",2012,16,19,35,40,33,54,82,78,45,79,35,21,537
"Kamphaeng Phet",2013,16,35,42,56,39,90,74,40,25,13,13,8,451
"Kamphaeng Phet",2014,5,4,6,9,11,45,76,21,18,9,7,2,213
"Kamphaeng Phet",2015,1,1,5,7,8,20,21,16,39,41,10,19,188
"Kamphaeng Phet",2016,14,5,12,11,1,1,2,0,0,2,0,1,49
"Kamphaeng Phet",2017,3,3,7,2,11,21,23,17,9,9,2,2,109
"Kamphaeng Phet",2018,4,3,7,9,19,35,35,33,23,16,7,6,197
"Kamphaeng Phet",2019,3,5,13,17,12,20,11,11,7,8,3,3,113
"Kamphaeng Phet",2020,4,2,7,1,1,3,17,13,9,9,5,3,74
"Kanchanaburi",2011,14,29,42,68,99,86,46,45,20,33,42,12,536
"Kanchanaburi",2012,20,30,17,26,31,60,76,65,80,97,70,30,602
"Kanchanaburi",2013,32,30,24,24,24,17,42,27,21,22,13,4,280
"Kanchanaburi",2014,10,10,7,10,37,30,30,11,17,15,25,11,213
"Kanchanaburi",2015,14,14,19,29,38,46,54,49,37,32,63,22,417
"Kanchanaburi",2016,7,3,2,3,2,1,5,6,4,5,1,4,43
"Kanchanaburi",2017,0,1,2,0,3,6,15,6,3,4,3,9,52
"Kanchanaburi",2018,7,7,10,7,8,24,26,27,15,11,12,17,171
"Kanchanaburi",2019,11,9,11,3,9,33,50,63,34,12,11,8,254
"Kanchanaburi",2020,11,1,2,13,14,21,20,19,8,20,9,9,147
"Khon Kaen",2011,9,7,3,16,67,125,174,99,76,53,17,21,667
"Khon Kaen",2012,13,10,16,33,61,125,90,72,88,101,75,62,746
"Khon Kaen",2013,29,30,37,43,95,149,464,322,146,38,12,3,1368
"Khon Kaen",2014,2,5,1,3,7,7,40,31,17,15,12,3,143
"Khon Kaen",2015,3,1,9,16,59,102,166,200,182,111,166,71,1086
"Khon Kaen",2016,54,20,26,12,14,23,31,58,35,25,10,2,310
"Khon Kaen",2017,3,0,2,6,16,42,41,36,21,7,5,3,182
"Khon Kaen",2018,1,2,5,8,37,121,96,84,44,27,32,44,501
"Khon Kaen",2019,31,41,46,36,57,183,216,160,134,165,99,28,1196
"Khon Kaen",2020,35,40,39,86,141,158,252,119,38,6,6,0,920
"Krabi",2011,33,29,27,16,33,36,49,37,35,25,21,52,393
"Krabi",2012,50,51,109,168,173,106,93,66,64,59,81,67,1087
"Krabi",2013,105,89,108,136,271,274,186,97,0,0,0,0,1266
"Krabi",2014,11,9,20,23,64,123,92,63,56,58,40,33,592
"Krabi",2015,40,40,22,50,86,158,168,180,146,90,88,50,1118
"Krabi",2016,26,18,27,13,15,29,45,57,31,35,30,20,346
"Krabi",2017,11,18,33,25,43,35,35,30,37,19,26,19,331
"Krabi",2018,26,30,34,50,85,65,54,39,28,27,29,22,489
"Krabi",2019,14,24,23,26,29,38,46,20,22,13,13,7,275
"Krabi",2020,17,6,5,7,16,14,16,6,3,3,4,1,98
"Lampang",2011,2,0,3,2,5,11,12,6,3,0,1,2,47
"Lampang",2012,1,1,1,1,2,7,8,13,3,8,11,4,60
"Lampang",2013,12,16,17,56,74,197,238,131,90,22,13,4,870
"Lampang",2014,5,1,0,4,4,6,11,5,5,4,1,1,47
"Lampang",2015,0,0,0,6,17,38,56,44,58,15,27,21,282
"Lampang",2016,4,3,6,5,16,8,41,50,22,6,2,2,165
"Lampang",2017,2,0,1,5,4,19,16,15,7,2,4,0,75
"Lampang",2018,1,0,1,3,8,21,16,7,4,1,2,1,65
"Lampang",2019,2,4,5,10,3,22,46,34,24,15,11,2,178
"Lampang",2020,3,1,0,2,16,16,36,34,14,5,4,2,133
"Lamphun",2011,1,0,3,3,6,13,5,6,4,2,2,0,45
"Lamphun",2012,0,1,1,0,1,2,0,1,5,4,17,6,38
"Lamphun",2013,8,7,17,18,28,61,104,66,16,6,0,0,331
"Lamphun",2014,0,1,1,1,0,1,5,2,0,0,3,0,14
"Lamphun",2015,0,0,0,0,0,2,11,9,17,31,26,3,99
"Lamphun",2016,7,4,0,4,4,6,23,46,40,17,6,7,164
"Lamphun",2017,0,0,0,0,4,8,20,25,16,5,4,1,83
"Lamphun",2018,0,0,0,0,1,5,11,5,15,5,3,5,50
"Lamphun",2019,1,0,0,0,0,9,7,13,16,10,5,0,61
"Lamphun",2020,0,0,0,1,0,2,7,7,7,5,0,0,29
"Loei",2011,0,2,1,3,19,24,24,11,10,4,4,1,103
"Loei",2012,1,4,1,7,24,39,48,24,14,17,32,12,223
"Loei",2013,35,25,27,73,131,194,174,77,23,22,9,1,791
"Loei",2014,0,0,2,3,0,4,3,4,2,1,3,1,23
"Loei",2015,0,0,0,4,19,23,48,34,34,15,14,1,192
"Loei",2016,7,4,5,4,10,40,36,34,17,13,5,1,176
"Loei",2017,2,4,4,1,10,29,21,9,8,8,6,4,106
"Loei",2018,1,2,5,2,20,32,42,18,16,12,9,10,169
"Loei",2019,10,5,8,16,60,141,138,66,54,29,14,6,547
"Loei",2020,2,1,7,5,25,58,72,30,15,6,0,0,221
"Lop Buri",2011,35,46,11,7,57,126,165,143,91,75,84,33,873
"Lop Buri",2012,30,32,51,48,33,58,108,112,113,121,41,0,747
"Lop Buri",2013,32,28,19,7,22,38,58,33,20,26,28,16,327
"Lop Buri",2014,11,11,7,18,25,27,14,34,11,30,25,13,226
"Lop Buri",2015,11,20,27,33,89,55,48,73,104,99,91,24,674
"Lop Buri",2016,19,16,10,2,4,3,4,6,16,8,6,2,96
"Lop Buri",2017,4,2,1,0,4,3,2,6,5,1,0,1,29
"Lop Buri",2018,3,1,1,5,18,38,73,53,44,38,15,27,316
"Lop Buri",2019,42,44,42,13,17,32,48,30,57,41,14,8,388
"Lop Buri",2020,25,15,17,11,15,24,68,55,76,42,12,0,360
"Mae Hong Son",2011,2,0,1,3,11,15,9,4,4,4,4,0,57
"Mae Hong Son",2012,0,0,0,0,3,6,14,5,18,12,4,4,66
"Mae Hong Son",2013,3,0,1,11,30,76,109,54,43,26,28,3,384
"Mae Hong Son",2014,1,2,2,7,10,27,35,43,13,10,6,0,156
"Mae Hong Son",2015,1,1,0,1,2,16,40,40,22,7,14,4,148
"Mae Hong Son",2016,4,5,6,8,24,11,37,41,22,18,10,7,193
"Mae Hong Son",2017,1,0,0,7,8,21,22,21,10,12,9,12,123
"Mae Hong Son",2018,0,1,1,1,13,32,26,12,8,9,3,5,111
"Mae Hong Son",2019,5,3,1,3,0,1,4,12,15,6,5,1,56
"Mae Hong Son",2020,1,0,4,4,2,25,70,39,20,24,5,3,197
"Maha Sarakham",2011,4,2,4,5,32,59,69,47,47,22,21,5,317
"Maha Sarakham",2012,8,8,6,7,28,39,51,37,45,63,53,26,371
"Maha Sarakham",2013,37,44,66,22,64,205,219,185,110,41,22,7,1022
"Maha Sarakham",2014,2,1,3,1,3,8,19,17,22,18,7,4,105
"Maha Sarakham",2015,2,3,12,23,41,41,42,54,87,42,43,2,392
"Maha Sarakham",2016,26,18,14,6,1,6,20,32,20,25,16,6,190
"Maha Sarakham",2017,4,4,6,16,19,32,31,28,17,19,7,2,185
"Maha Sarakham",2018,7,2,5,6,26,79,46,42,11,18,17,17,276
"Maha Sarakham",2019,25,16,39,20,8,89,97,89,84,51,25,13,556
"Maha Sarakham",2020,13,13,15,33,73,72,133,93,35,8,7,2,497
"Mukdahan",2011,0,1,3,2,7,12,22,5,3,0,0,0,55
"Mukdahan",2012,1,1,0,5,4,18,12,21,12,10,9,5,98
"Mukdahan",2013,8,8,10,18,100,81,42,31,13,3,3,2,319
"Mukdahan",2014,1,0,0,0,6,7,6,4,2,2,0,0,28
"Mukdahan",2015,0,0,0,0,11,20,17,19,18,7,16,5,113
"Mukdahan",2016,9,0,1,2,1,10,18,7,15,8,4,1,76
"Mukdahan",2017,0,3,2,8,5,21,18,8,4,2,1,0,72
"Mukdahan",2018,0,2,2,2,9,4,5,4,3,2,2,4,39
"Mukdahan",2019,0,2,8,11,16,40,29,27,6,6,1,0,146
"Mukdahan",2020,2,3,5,5,4,21,22,9,5,1,0,0,77
"Nakhon Nayok",2011,3,3,1,7,23,29,25,14,3,7,9,2,126
"Nakhon Nayok",2012,0,5,2,2,1,11,2,2,1,8,3,1,38
"Nakhon Nayok",2013,2,6,4,3,5,15,15,10,3,3,0,0,66
"Nakhon Nayok",2014,3,3,1,1,7,2,6,11,5,1,3,1,44
"Nakhon Nayok",2015,4,0,1,3,4,9,16,30,10,9,6,1,93
"Nakhon Nayok",2016,0,1,2,0,0,1,5,2,0,1,0,0,12
"Nakhon Nayok",2017,0,1,0,0,3,0,2,0,1,0,0,0,7
"Nakhon Nayok",2018,1,0,4,6,9,23,25,26,9,12,3,1,119
